y,fzone,punt,kick,gofor,red,green,blue
1,1,1,0,0,255,0,0
1,2,1,0,0,255,0,0
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,1,0,0,255,0,0
2,2,1,0,0,255,0,0
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,1,0,0,255,0,0
3,2,1,0,0,255,0,0
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.9895,0,0.0105,252,0,2
4,2,1,0,0,255,0,0
4,3,1,0,0,255,0,0
4,4,1,0,0,255,0,0
5,1,0.8685,0,0.1315,221,0,33
5,2,0.9965,0,0.0035,254,0,0
5,3,1,0,0,255,0,0
5,4,1,0,0,255,0,0
6,1,0.8265,0.0045,0.169,210,1,43
6,2,0.9915,0.005,0.0035,252,1,0
6,3,0.995,0.005,0,253,1,0
6,4,0.995,0.005,0,253,1,0
7,1,0.011,0.399,0.59,2,101,150
7,2,0.0335,0.946,0.0205,8,241,5
7,3,0.035,0.965,0,8,246,0
7,4,0.035,0.965,0,8,246,0
8,1,0,0.283,0.717,0,72,182
8,2,0,0.9255,0.0745,0,236,18
8,3,0,0.999,0.001,0,254,0
8,4,0,1,0,0,255,0
9,1,0,0.7135,0.2865,0,181,73
9,2,0,0.9895,0.0105,0,252,2
9,3,0,0.9995,0.0005,0,254,0
9,4,0,1,0,0,255,0
10,1,0,0.491,0.509,0,125,129
10,2,0,0.84,0.16,0,214,40
10,3,0,0.968,0.032,0,246,8
10,4,0,0.9905,0.0095,0,252,2
