y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.017,0,0.983,4,0,250
1,3,0.756,0,0.244,192,0,62
1,4,0.995,0,0.005,253,0,1
2,1,0,0,1,0,0,255
2,2,0.003,0,0.997,0,0,254
2,3,0.733,0,0.267,186,0,68
2,4,0.999,0,0.001,254,0,0
3,1,0,0,1,0,0,255
3,2,0.005,0,0.995,1,0,253
3,3,0.874,0,0.126,222,0,32
3,4,0.9995,0,0.0005,254,0,0
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.0695,0,0.9305,17,0,237
4,4,0.9235,0,0.0765,235,0,19
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.0005,0,0.9995,0,0,254
5,4,0.208,0,0.792,53,0,201
6,1,0,0.0075,0.9925,0,1,253
6,2,0,0.024,0.976,0,6,248
6,3,0,0.0735,0.9265,0,18,236
6,4,0.002,0.207,0.791,0,52,201
7,1,0,0.0015,0.9985,0,0,254
7,2,0,0.284,0.716,0,72,182
7,3,0,0.9965,0.0035,0,254,0
7,4,0,1,0,0,255,0
8,1,0,0,1,0,0,255
8,2,0,0,1,0,0,255
8,3,0,0.568,0.432,0,144,110
8,4,0,0.999,0.001,0,254,0
9,1,0,0,1,0,0,255
9,2,0,0.227,0.773,0,57,197
9,3,0,0.949,0.051,0,241,13
9,4,0,0.997,0.003,0,254,0
10,1,0,0,1,0,0,255
10,2,0,0.0005,0.9995,0,0,254
10,3,0,0.3695,0.6305,0,94,160
10,4,0,0.8895,0.1105,0,226,28
