y,fzone,punt,kick,gofor,red,green,blue
1,1,0,0,1,0,0,255
1,2,0.0275,0,0.9725,7,0,247
1,3,0.4365,0,0.5635,111,0,143
1,4,0.9045,0,0.0955,230,0,24
2,1,0,0,1,0,0,255
2,2,0,0,1,0,0,255
2,3,0.0395,0,0.9605,10,0,244
2,4,0.809,0,0.191,206,0,48
3,1,0,0,1,0,0,255
3,2,0,0,1,0,0,255
3,3,0.1245,0,0.8755,31,0,223
3,4,0.97,0,0.03,247,0,7
4,1,0,0,1,0,0,255
4,2,0,0,1,0,0,255
4,3,0.004,0,0.996,1,0,253
4,4,0.674,0,0.326,171,0,83
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0,0,1,0,0,255
5,4,0.203,0,0.797,51,0,203
6,1,0,0.0085,0.9915,0,2,252
6,2,0,0.027,0.973,0,6,248
6,3,0,0.086,0.914,0,21,233
6,4,0.004,0.2285,0.7675,1,58,195
7,1,0,0.011,0.989,0,2,252
7,2,0,0.6915,0.3085,0,176,78
7,3,0,0.9995,0.0005,0,254,0
7,4,0,1,0,0,255,0
8,1,0,0,1,0,0,255
8,2,0,0.0055,0.9945,0,1,253
8,3,0,0.9595,0.0405,0,244,10
8,4,0,1,0,0,255,0
9,1,0,0.002,0.998,0,0,254
9,2,0,0.624,0.376,0,159,95
9,3,0,0.9905,0.0095,0,252,2
9,4,0,1,0,0,255,0
10,1,0,0,1,0,0,255
10,2,0,0.0025,0.9975,0,0,254
10,3,0,0.637,0.363,0,162,92
10,4,0,0.9585,0.0415,0,244,10
