y,fzone,punt,kick,gofor,red,green,blue
1,1,0.1025,0,0.8975,26,0,228
1,2,0.916,0,0.084,233,0,21
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,0.071,0,0.929,18,0,236
2,2,0.9295,0,0.0705,237,0,17
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,0.238,0,0.762,60,0,194
3,2,0.991,0,0.009,252,0,2
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.0175,0,0.9825,4,0,250
4,2,0.8315,0,0.1685,212,0,42
4,3,1,0,0,255,0,0
4,4,1,0,0,255,0,0
5,1,0,0,1,0,0,255
5,2,0.0385,0,0.9615,9,0,245
5,3,0.9795,0,0.0205,249,0,5
5,4,1,0,0,255,0,0
6,1,0,0.0095,0.9905,0,2,252
6,2,0,0.029,0.971,0,7,247
6,3,0.1605,0.091,0.7485,40,23,190
6,4,0.8645,0.121,0.0145,220,30,3
7,1,0,0.373,0.627,0,95,159
7,2,0,0.9905,0.0095,0,252,2
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.097,0.903,0,24,230
8,2,0,0.972,0.028,0,247,7
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.755,0.245,0,192,62
9,2,0,0.9995,0.0005,0,254,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.0215,0.9785,0,5,249
10,2,0,0.8325,0.1675,0,212,42
10,3,0,0.999,0.001,0,254,0
10,4,0,1,0,0,255,0
