y,fzone,punt,kick,gofor,red,green,blue
1,1,0.0005,0,0.9995,0,0,254
1,2,0.2755,0,0.7245,70,0,184
1,3,0.9955,0,0.0045,253,0,1
1,4,1,0,0,255,0,0
2,1,0,0,1,0,0,255
2,2,0.2325,0,0.7675,59,0,195
2,3,0.996,0,0.004,253,0,1
2,4,1,0,0,255,0,0
3,1,0.0025,0,0.9975,0,0,254
3,2,0.4875,0,0.5125,124,0,130
3,3,0.999,0,0.001,254,0,0
3,4,1,0,0,255,0,0
4,1,0,0,1,0,0,255
4,2,0.0545,0,0.9455,13,0,241
4,3,0.9845,0,0.0155,251,0,3
4,4,1,0,0,255,0,0
5,1,0,0,1,0,0,255
5,2,0,0,1,0,0,255
5,3,0.344,0,0.656,87,0,167
5,4,0.9945,0,0.0055,253,0,1
6,1,0,0.008,0.992,0,2,252
6,2,0,0.0235,0.9765,0,5,249
6,3,0.001,0.081,0.918,0,20,234
6,4,0.45,0.1795,0.3705,114,45,94
7,1,0,0.1,0.9,0,25,229
7,2,0,0.9315,0.0685,0,237,17
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,0.005,0.995,0,1,253
8,2,0,0.7335,0.2665,0,187,67
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,0.358,0.642,0,91,163
9,2,0,0.9965,0.0035,0,254,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,0.0015,0.9985,0,0,254
10,2,0,0.4955,0.5045,0,126,128
10,3,0,0.986,0.014,0,251,3
10,4,0,0.9995,0.0005,0,254,0
