y,fzone,punt,kick,gofor,red,green,blue
1,1,1,0,0,255,0,0
1,2,1,0,0,255,0,0
1,3,1,0,0,255,0,0
1,4,1,0,0,255,0,0
2,1,1,0,0,255,0,0
2,2,1,0,0,255,0,0
2,3,1,0,0,255,0,0
2,4,1,0,0,255,0,0
3,1,1,0,0,255,0,0
3,2,1,0,0,255,0,0
3,3,1,0,0,255,0,0
3,4,1,0,0,255,0,0
4,1,0.7795,0,0.2205,198,0,56
4,2,0.983,0,0.017,250,0,4
4,3,0.999,0,0.001,254,0,0
4,4,1,0,0,255,0,0
5,1,0.476,0,0.524,121,0,133
5,2,0.8525,0,0.1475,217,0,37
5,3,0.9865,0,0.0135,251,0,3
5,4,0.9995,0,0.0005,254,0,0
6,1,0.626,0.0075,0.3665,159,1,93
6,2,0.92,0.0085,0.0715,234,2,18
6,3,0.984,0.0095,0.0065,250,2,1
6,4,0.9895,0.0105,0,252,2,0
7,1,0,0.995,0.005,0,253,1
7,2,0,1,0,0,255,0
7,3,0,1,0,0,255,0
7,4,0,1,0,0,255,0
8,1,0,1,0,0,255,0
8,2,0,1,0,0,255,0
8,3,0,1,0,0,255,0
8,4,0,1,0,0,255,0
9,1,0,1,0,0,255,0
9,2,0,1,0,0,255,0
9,3,0,1,0,0,255,0
9,4,0,1,0,0,255,0
10,1,0,1,0,0,255,0
10,2,0,1,0,0,255,0
10,3,0,1,0,0,255,0
10,4,0,1,0,0,255,0
