y,fzone,punt,kick,gofor
1,1,0.0155,0,0.9845
1,2,0.6955,0,0.3045
1,3,1,0,0
1,4,1,0,0
2,1,0.0095,0,0.9905
2,2,0.6395,0,0.3605
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0505,0,0.9495
3,2,0.8925,0,0.1075
3,3,1,0,0
3,4,1,0,0
4,1,0.0035,0,0.9965
4,2,0.5615,0,0.4385
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.009,0,0.991
5,3,0.931,0,0.069
5,4,1,0,0
6,1,0,0.008,0.992
6,2,0,0.0245,0.9755
6,3,0.128,0.0815,0.7905
6,4,0.859,0.1175,0.0235
7,1,0,0.2675,0.7325
7,2,0,0.981,0.019
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0965,0.9035
8,2,0,0.9705,0.0295
8,3,0,1,0
8,4,0,1,0
9,1,0,0.765,0.235
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.055,0.945
10,2,0,0.895,0.105
10,3,0,0.999,0.001
10,4,0,1,0
