y,fzone,punt,kick,gofor
1,1,0.4485,0,0.5515
1,2,0.9955,0,0.0045
1,3,1,0,0
1,4,1,0,0
2,1,0.2815,0,0.7185
2,2,0.9885,0,0.0115
2,3,1,0,0
2,4,1,0,0
3,1,0.552,0,0.448
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.233,0,0.767
4,2,0.9895,0,0.0105
4,3,1,0,0
4,4,1,0,0
5,1,0.0065,0,0.9935
5,2,0.662,0,0.338
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.005,0.028,0.967
6,3,0.8665,0.056,0.0775
6,4,0.944,0.056,0
7,1,0,0.6235,0.3765
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.608,0.392
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9835,0.0165
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.491,0.509
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
