y,fzone,punt,kick,gofor
1,1,0.4525,0,0.5475
1,2,0.9945,0,0.0055
1,3,1,0,0
1,4,1,0,0
2,1,0.3365,0,0.6635
2,2,0.9925,0,0.0075
2,3,1,0,0
2,4,1,0,0
3,1,0.644,0,0.356
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.231,0,0.769
4,2,0.9915,0,0.0085
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.5325,0,0.4675
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.0005,0.032,0.9675
6,3,0.7415,0.07,0.1885
6,4,0.929,0.071,0
7,1,0,0.626,0.374
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.449,0.551
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.959,0.041
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.205,0.795
10,2,0,0.9845,0.0155
10,3,0,1,0
10,4,0,1,0
