y,fzone,punt,kick,gofor
1,1,0.365,0,0.635
1,2,0.9895,0,0.0105
1,3,1,0,0
1,4,1,0,0
2,1,0.2605,0,0.7395
2,2,0.9855,0,0.0145
2,3,1,0,0
2,4,1,0,0
3,1,0.5405,0,0.4595
3,2,0.9985,0,0.0015
3,3,1,0,0
3,4,1,0,0
4,1,0.1445,0,0.8555
4,2,0.979,0,0.021
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.378,0,0.622
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.613,0.0805,0.3065
6,4,0.911,0.0875,0.0015
7,1,0,0.564,0.436
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.3535,0.6465
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9305,0.0695
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1295,0.8705
10,2,0,0.9725,0.0275
10,3,0,0.9995,0.0005
10,4,0,1,0
