y,fzone,punt,kick,gofor
1,1,0.001,0,0.999
1,2,0.447,0,0.553
1,3,0.9975,0,0.0025
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.4335,0,0.5665
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0065,0,0.9935
3,2,0.7255,0,0.2745
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.06,0,0.94
4,3,0.9905,0,0.0095
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.254,0,0.746
5,4,0.991,0,0.009
6,1,0,0.009,0.991
6,2,0,0.0245,0.9755
6,3,0,0.086,0.914
6,4,0.307,0.2045,0.4885
7,1,0,0.081,0.919
7,2,0,0.9165,0.0835
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.3705,0.6295
8,3,0,0.9995,0.0005
8,4,0,1,0
9,1,0,0.1005,0.8995
9,2,0,0.9595,0.0405
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.147,0.853
10,3,0,0.9255,0.0745
10,4,0,0.9935,0.0065
