y,fzone,punt,kick,gofor
1,1,0.005,0,0.995
1,2,0.579,0,0.421
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.004,0,0.996
2,2,0.544,0,0.456
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.0165,0,0.9835
3,2,0.813,0,0.187
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.15,0,0.85
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.455,0,0.545
5,4,0.9965,0,0.0035
6,1,0,0.009,0.991
6,2,0,0.025,0.975
6,3,0.001,0.086,0.913
6,4,0.4675,0.19,0.3425
7,1,0,0.116,0.884
7,2,0,0.9375,0.0625
7,3,0,1,0
7,4,0,1,0
8,1,0,0.001,0.999
8,2,0,0.544,0.456
8,3,0,1,0
8,4,0,1,0
9,1,0,0.1835,0.8165
9,2,0,0.9845,0.0155
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.236,0.764
10,3,0,0.9545,0.0455
10,4,0,0.997,0.003
