y,fzone,punt,kick,gofor
1,1,0.343,0,0.657
1,2,0.988,0,0.012
1,3,1,0,0
1,4,1,0,0
2,1,0.244,0,0.756
2,2,0.9835,0,0.0165
2,3,1,0,0
2,4,1,0,0
3,1,0.519,0,0.481
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.138,0,0.862
4,2,0.9765,0,0.0235
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.3615,0,0.6385
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.5935,0.0815,0.325
6,4,0.91,0.0885,0.0015
7,1,0,0.5615,0.4385
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.358,0.642
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.93,0.07
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.132,0.868
10,2,0,0.9735,0.0265
10,3,0,0.9995,0.0005
10,4,0,1,0
