y,fzone,punt,kick,gofor
1,1,0.8145,0,0.1855
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.6995,0,0.3005
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.8925,0,0.1075
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.5975,0,0.4025
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.053,0,0.947
5,2,0.9255,0,0.0745
5,3,1,0,0
5,4,1,0,0
6,1,0,0.012,0.988
6,2,0.071,0.0345,0.8945
6,3,0.939,0.053,0.008
6,4,0.947,0.053,0
7,1,0,0.783,0.217
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7465,0.2535
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.991,0.009
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.5155,0.4845
10,2,0,0.9985,0.0015
10,3,0,1,0
10,4,0,1,0
