y,fzone,punt,kick,gofor
1,1,0.0575,0,0.9425
1,2,0.8705,0,0.1295
1,3,1,0,0
1,4,1,0,0
2,1,0.0305,0,0.9695
2,2,0.816,0,0.184
2,3,1,0,0
2,4,1,0,0
3,1,0.12,0,0.88
3,2,0.9565,0,0.0435
3,3,1,0,0
3,4,1,0,0
4,1,0.015,0,0.985
4,2,0.753,0,0.247
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0535,0,0.9465
5,3,0.983,0,0.017
5,4,1,0,0
6,1,0,0.009,0.991
6,2,0,0.0255,0.9745
6,3,0.2825,0.08,0.6375
6,4,0.8925,0.101,0.0065
7,1,0,0.434,0.566
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.311,0.689
8,2,0,0.998,0.002
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9255,0.0745
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1995,0.8005
10,2,0,0.9855,0.0145
10,3,0,1,0
10,4,0,1,0
