y,fzone,punt,kick,gofor
1,1,0.98,0,0.02
1,2,0.9985,0,0.0015
1,3,1,0,0
1,4,1,0,0
2,1,0.9675,0,0.0325
2,2,0.995,0,0.005
2,3,1,0,0
2,4,1,0,0
3,1,0.988,0,0.012
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.9545,0,0.0455
4,2,0.996,0,0.004
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0.64,0,0.36
5,2,0.995,0,0.005
5,3,0.9965,0,0.0035
5,4,0.997,0,0.003
6,1,0.04,0.0145,0.9455
6,2,0.853,0.0265,0.1205
6,3,0.9685,0.0265,0.005
6,4,0.9705,0.0265,0.003
7,1,0,0.947,0.053
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9735,0.0265
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.978,0.022
10,2,0,0.998,0.002
10,3,0,1,0
10,4,0,1,0
