y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0105,0,0.9895
1,3,0.7735,0,0.2265
1,4,0.998,0,0.002
2,1,0,0,1
2,2,0.067,0,0.933
2,3,0.9775,0,0.0225
2,4,1,0,0
3,1,0,0,1
3,2,0.0665,0,0.9335
3,3,0.993,0,0.007
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.3765,0,0.6235
4,4,0.9955,0,0.0045
5,1,0,0,1
5,2,0,0,1
5,3,0.002,0,0.998
5,4,0.545,0,0.455
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.085,0.915
6,4,0.0105,0.2205,0.769
7,1,0,0.006,0.994
7,2,0,0.529,0.471
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0,1
8,3,0,0.782,0.218
8,4,0,0.9985,0.0015
9,1,0,0.0005,0.9995
9,2,0,0.343,0.657
9,3,0,0.971,0.029
9,4,0,0.9985,0.0015
10,1,0,0,1
10,2,0,0.0005,0.9995
10,3,0,0.4305,0.5695
10,4,0,0.9065,0.0935
