y,fzone,punt,kick,gofor
1,1,0.002,0,0.998
1,2,0.5095,0,0.4905
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.4705,0,0.5295
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.01,0,0.99
3,2,0.7525,0,0.2475
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.093,0,0.907
4,3,0.9945,0,0.0055
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.3545,0,0.6455
5,4,0.9945,0,0.0055
6,1,0,0.008,0.992
6,2,0,0.0255,0.9745
6,3,0,0.0865,0.9135
6,4,0.3825,0.1955,0.422
7,1,0,0.091,0.909
7,2,0,0.922,0.078
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.439,0.561
8,3,0,0.9995,0.0005
8,4,0,1,0
9,1,0,0.131,0.869
9,2,0,0.973,0.027
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.186,0.814
10,3,0,0.9405,0.0595
10,4,0,0.995,0.005
