y,fzone,punt,kick,gofor
1,1,0.7325,0,0.2675
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.6035,0,0.3965
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.857,0,0.143
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.498,0,0.502
4,2,0.999,0,0.001
4,3,1,0,0
4,4,1,0,0
5,1,0.026,0,0.974
5,2,0.873,0,0.127
5,3,1,0,0
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.0345,0.034,0.9315
6,3,0.926,0.054,0.02
6,4,0.946,0.054,0
7,1,0,0.745,0.255
7,2,0,0.9995,0.0005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.682,0.318
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.987,0.013
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.433,0.567
10,2,0,0.9975,0.0025
10,3,0,1,0
10,4,0,1,0
