y,fzone,punt,kick,gofor
1,1,0.893,0,0.107
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.823,0,0.177
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9555,0,0.0445
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.7565,0,0.2435
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.139,0,0.861
5,2,0.9795,0,0.0205
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0135,0.9865
6,2,0.2305,0.0335,0.736
6,3,0.951,0.0475,0.0015
6,4,0.9525,0.0475,0
7,1,0,0.8375,0.1625
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8485,0.1515
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.678,0.322
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
