y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0,0,1
1,3,0,0,1
1,4,0.0005,0,0.9995
2,1,0,0,1
2,2,0,0,1
2,3,0,0,1
2,4,0,0,1
3,1,0,0,1
3,2,0,0,1
3,3,0,0,1
3,4,0,0,1
4,1,0,0,1
4,2,0,0,1
4,3,0,0,1
4,4,0,0,1
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0,0,1
6,1,0,0.0105,0.9895
6,2,0,0.029,0.971
6,3,0,0.0785,0.9215
6,4,0,0.1975,0.8025
7,1,0,0,1
7,2,0,0.0115,0.9885
7,3,0,0.2365,0.7635
7,4,0,0.7815,0.2185
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0.0385,0.9615
9,1,0,0,1
9,2,0,0,1
9,3,0,0.035,0.965
9,4,0,0.408,0.592
10,1,0,0,1
10,2,0,0,1
10,3,0,0.0005,0.9995
10,4,0,0.039,0.961
