y,fzone,punt,kick,gofor
1,1,0.2565,0,0.7435
1,2,0.9755,0,0.0245
1,3,1,0,0
1,4,1,0,0
2,1,0.1835,0,0.8165
2,2,0.973,0,0.027
2,3,1,0,0
2,4,1,0,0
3,1,0.426,0,0.574
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.0755,0,0.9245
4,2,0.9515,0,0.0485
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.2065,0,0.7935
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.031,0.969
6,3,0.446,0.0835,0.4705
6,4,0.902,0.0955,0.0025
7,1,0,0.5185,0.4815
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.274,0.726
8,2,0,0.993,0.007
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9,0.1
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0805,0.9195
10,2,0,0.948,0.052
10,3,0,0.9995,0.0005
10,4,0,1,0
