y,fzone,punt,kick,gofor
1,1,0.9315,0,0.0685
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.867,0,0.133
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.971,0,0.029
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.805,0,0.195
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.2055,0,0.7945
5,2,0.985,0,0.015
5,3,1,0,0
5,4,1,0,0
6,1,0.001,0.0135,0.9855
6,2,0.321,0.031,0.648
6,3,0.958,0.0385,0.0035
6,4,0.96,0.0385,0.0015
7,1,0,0.844,0.156
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8625,0.1375
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.997,0.003
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.7225,0.2775
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
