y,fzone,punt,kick,gofor
1,1,0.366,0,0.634
1,2,0.989,0,0.011
1,3,1,0,0
1,4,1,0,0
2,1,0.2595,0,0.7405
2,2,0.9855,0,0.0145
2,3,1,0,0
2,4,1,0,0
3,1,0.5375,0,0.4625
3,2,0.998,0,0.002
3,3,1,0,0
3,4,1,0,0
4,1,0.1425,0,0.8575
4,2,0.977,0,0.023
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.37,0,0.63
5,3,0.9985,0,0.0015
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.599,0.081,0.32
6,4,0.9105,0.0875,0.002
7,1,0,0.549,0.451
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.335,0.665
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9235,0.0765
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.118,0.882
10,2,0,0.9675,0.0325
10,3,0,0.9995,0.0005
10,4,0,1,0
