y,fzone,punt,kick,gofor
1,1,0.2,0,0.8
1,2,0.97,0,0.03
1,3,1,0,0
1,4,1,0,0
2,1,0.162,0,0.838
2,2,0.969,0,0.031
2,3,1,0,0
2,4,1,0,0
3,1,0.4445,0,0.5555
3,2,0.996,0,0.004
3,3,1,0,0
3,4,1,0,0
4,1,0.2295,0,0.7705
4,2,0.988,0,0.012
4,3,1,0,0
4,4,1,0,0
5,1,0.009,0,0.991
5,2,0.6925,0,0.3075
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.0125,0.0295,0.958
6,3,0.899,0.0545,0.0465
6,4,0.9455,0.0545,0
7,1,0,0.5525,0.4475
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.5445,0.4555
8,2,0,0.9965,0.0035
8,3,0,1,0
8,4,0,1,0
9,1,0,0.956,0.044
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.4355,0.5645
10,2,0,0.984,0.016
10,3,0,0.9995,0.0005
10,4,0,1,0
