y,fzone,punt,kick,gofor
1,1,0.182,0,0.818
1,2,0.9575,0,0.0425
1,3,1,0,0
1,4,1,0,0
2,1,0.1255,0,0.8745
2,2,0.9575,0,0.0425
2,3,1,0,0
2,4,1,0,0
3,1,0.3345,0,0.6655
3,2,0.9935,0,0.0065
3,3,1,0,0
3,4,1,0,0
4,1,0.0405,0,0.9595
4,2,0.9115,0,0.0885
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1105,0,0.8895
5,3,0.994,0,0.006
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.3085,0.0835,0.608
6,4,0.893,0.1025,0.0045
7,1,0,0.431,0.569
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.168,0.832
8,2,0,0.9865,0.0135
8,3,0,1,0
8,4,0,1,0
9,1,0,0.827,0.173
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0385,0.9615
10,2,0,0.9,0.1
10,3,0,0.9995,0.0005
10,4,0,1,0
