y,fzone,punt,kick,gofor
1,1,0.137,0,0.863
1,2,0.936,0,0.064
1,3,1,0,0
1,4,1,0,0
2,1,0.089,0,0.911
2,2,0.941,0,0.059
2,3,1,0,0
2,4,1,0,0
3,1,0.2715,0,0.7285
3,2,0.9915,0,0.0085
3,3,1,0,0
3,4,1,0,0
4,1,0.024,0,0.976
4,2,0.865,0,0.135
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.0575,0,0.9425
5,3,0.989,0,0.011
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.2145,0.088,0.6975
6,4,0.878,0.1135,0.0085
7,1,0,0.396,0.604
7,2,0,0.9935,0.0065
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1245,0.8755
8,2,0,0.9815,0.0185
8,3,0,1,0
8,4,0,1,0
9,1,0,0.786,0.214
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.026,0.974
10,2,0,0.863,0.137
10,3,0,0.999,0.001
10,4,0,1,0
