y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.133,0,0.867
1,3,0.975,0,0.025
1,4,1,0,0
2,1,0,0,1
2,2,0.108,0,0.892
2,3,0.989,0,0.011
2,4,1,0,0
3,1,0,0,1
3,2,0.2325,0,0.7675
3,3,0.998,0,0.002
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.6855,0,0.3145
4,4,0.9995,0,0.0005
5,1,0,0,1
5,2,0,0,1
5,3,0.008,0,0.992
5,4,0.7485,0,0.2515
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0,0.0835,0.9165
6,4,0.0435,0.217,0.7395
7,1,0,0.008,0.992
7,2,0,0.6265,0.3735
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0.0035,0.9965
8,3,0,0.924,0.076
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.537,0.463
9,3,0,0.9835,0.0165
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.002,0.998
10,3,0,0.5695,0.4305
10,4,0,0.9465,0.0535
