y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0345,0,0.9655
1,3,0.468,0,0.532
1,4,0.915,0,0.085
2,1,0,0,1
2,2,0,0,1
2,3,0.043,0,0.957
2,4,0.8195,0,0.1805
3,1,0,0,1
3,2,0,0,1
3,3,0.1335,0,0.8665
3,4,0.9725,0,0.0275
4,1,0,0,1
4,2,0,0,1
4,3,0.004,0,0.996
4,4,0.674,0,0.326
5,1,0,0,1
5,2,0,0,1
5,3,0,0,1
5,4,0.1955,0,0.8045
6,1,0,0.0085,0.9915
6,2,0,0.0265,0.9735
6,3,0,0.086,0.914
6,4,0.003,0.2265,0.7705
7,1,0,0.0095,0.9905
7,2,0,0.6475,0.3525
7,3,0,0.9995,0.0005
7,4,0,1,0
8,1,0,0,1
8,2,0,0.004,0.996
8,3,0,0.9395,0.0605
8,4,0,1,0
9,1,0,0.0005,0.9995
9,2,0,0.566,0.434
9,3,0,0.988,0.012
9,4,0,0.9995,0.0005
10,1,0,0,1
10,2,0,0.002,0.998
10,3,0,0.5995,0.4005
10,4,0,0.9525,0.0475
