y,fzone,punt,kick,gofor
1,1,0.1615,0,0.8385
1,2,0.9535,0,0.0465
1,3,1,0,0
1,4,1,0,0
2,1,0.119,0,0.881
2,2,0.9565,0,0.0435
2,3,1,0,0
2,4,1,0,0
3,1,0.3305,0,0.6695
3,2,0.9935,0,0.0065
3,3,1,0,0
3,4,1,0,0
4,1,0.0405,0,0.9595
4,2,0.915,0,0.085
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.107,0,0.893
5,3,0.994,0,0.006
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.303,0.085,0.612
6,4,0.8915,0.104,0.0045
7,1,0,0.444,0.556
7,2,0,0.994,0.006
7,3,0,1,0
7,4,0,1,0
8,1,0,0.1865,0.8135
8,2,0,0.9885,0.0115
8,3,0,1,0
8,4,0,1,0
9,1,0,0.844,0.156
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0445,0.9555
10,2,0,0.915,0.085
10,3,0,0.9995,0.0005
10,4,0,1,0
