y,fzone,punt,kick,gofor
1,1,0.9375,0,0.0625
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.88,0,0.12
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.977,0,0.023
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.834,0,0.166
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.2455,0,0.7545
5,2,0.99,0,0.01
5,3,1,0,0
5,4,1,0,0
6,1,0.0005,0.0135,0.986
6,2,0.3815,0.0305,0.588
6,3,0.9625,0.037,0.0005
6,4,0.963,0.037,0
7,1,0,0.86,0.14
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.891,0.109
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9985,0.0015
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.7645,0.2355
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
