y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,1,0,0
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.992,0,0.008
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.935,0.001,0.064
6,2,0.999,0.001,0
6,3,0.999,0.001,0
6,4,0.999,0.001,0
7,1,0.012,0,0.988
7,2,0.4585,0,0.5415
7,3,0.974,0.01,0.016
7,4,0.9845,0.0155,0
8,1,0,0,1
8,2,0,0,1
8,3,0,0,1
8,4,0,0.1505,0.8495
9,1,0,0,1
9,2,0,0,1
9,3,0,0.0495,0.9505
9,4,0,0.2755,0.7245
10,1,0,0,1
10,2,0,0,1
10,3,0,0.005,0.995
10,4,0,0.0305,0.9695
