y,fzone,punt,kick,gofor
1,1,0.003,0,0.997
1,2,0.55,0,0.45
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.003,0,0.997
2,2,0.5265,0,0.4735
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.015,0,0.985
3,2,0.8055,0,0.1945
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.1345,0,0.8655
4,3,0.997,0,0.003
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.43,0,0.57
5,4,0.996,0,0.004
6,1,0,0.0085,0.9915
6,2,0,0.025,0.975
6,3,0.001,0.0865,0.9125
6,4,0.4355,0.193,0.3715
7,1,0,0.107,0.893
7,2,0,0.9345,0.0655
7,3,0,1,0
7,4,0,1,0
8,1,0,0.001,0.999
8,2,0,0.5175,0.4825
8,3,0,1,0
8,4,0,1,0
9,1,0,0.177,0.823
9,2,0,0.9825,0.0175
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.2325,0.7675
10,3,0,0.9535,0.0465
10,4,0,0.9965,0.0035
