y,fzone,punt,kick,gofor
1,1,0.205,0,0.795
1,2,0.9655,0,0.0345
1,3,1,0,0
1,4,1,0,0
2,1,0.1485,0,0.8515
2,2,0.9655,0,0.0345
2,3,1,0,0
2,4,1,0,0
3,1,0.379,0,0.621
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.057,0,0.943
4,2,0.9335,0,0.0665
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.148,0,0.852
5,3,0.9955,0,0.0045
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.3525,0.0845,0.563
6,4,0.895,0.101,0.004
7,1,0,0.4595,0.5405
7,2,0,0.9955,0.0045
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2015,0.7985
8,2,0,0.99,0.01
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8575,0.1425
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0515,0.9485
10,2,0,0.924,0.076
10,3,0,0.9995,0.0005
10,4,0,1,0
