y,fzone,punt,kick,gofor
1,1,0.034,0,0.966
1,2,0.7725,0,0.2275
1,3,1,0,0
1,4,1,0,0
2,1,0.019,0,0.981
2,2,0.7585,0,0.2415
2,3,1,0,0
2,4,1,0,0
3,1,0.071,0,0.929
3,2,0.942,0,0.058
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.483,0,0.517
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.8125,0,0.1875
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.0165,0.0885,0.895
6,4,0.725,0.157,0.118
7,1,0,0.2215,0.7785
7,2,0,0.9755,0.0245
7,3,0,1,0
7,4,0,1,0
8,1,0,0.013,0.987
8,2,0,0.844,0.156
8,3,0,1,0
8,4,0,1,0
9,1,0,0.434,0.566
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.5285,0.4715
10,3,0,0.9865,0.0135
10,4,0,0.9995,0.0005
