y,fzone,punt,kick,gofor
1,1,0.187,0,0.813
1,2,0.958,0,0.042
1,3,1,0,0
1,4,1,0,0
2,1,0.127,0,0.873
2,2,0.96,0,0.04
2,3,1,0,0
2,4,1,0,0
3,1,0.342,0,0.658
3,2,0.9945,0,0.0055
3,3,1,0,0
3,4,1,0,0
4,1,0.045,0,0.955
4,2,0.9195,0,0.0805
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.12,0,0.88
5,3,0.9945,0,0.0055
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.03,0.97
6,3,0.327,0.0845,0.5885
6,4,0.893,0.1025,0.0045
7,1,0,0.4575,0.5425
7,2,0,0.9945,0.0055
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2065,0.7935
8,2,0,0.99,0.01
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8605,0.1395
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0515,0.9485
10,2,0,0.924,0.076
10,3,0,0.9995,0.0005
10,4,0,1,0
