y,fzone,punt,kick,gofor
1,1,0,0,1
1,2,0.0085,0,0.9915
1,3,0.7455,0,0.2545
1,4,0.9975,0,0.0025
2,1,0,0,1
2,2,0.0585,0,0.9415
2,3,0.972,0,0.028
2,4,1,0,0
3,1,0,0,1
3,2,0.078,0,0.922
3,3,0.994,0,0.006
3,4,1,0,0
4,1,0,0,1
4,2,0,0,1
4,3,0.469,0,0.531
4,4,0.9965,0,0.0035
5,1,0,0,1
5,2,0,0,1
5,3,0.0035,0,0.9965
5,4,0.612,0,0.388
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.084,0.916
6,4,0.0175,0.2165,0.766
7,1,0,0.006,0.994
7,2,0,0.565,0.435
7,3,0,0.999,0.001
7,4,0,1,0
8,1,0,0,1
8,2,0,0,1
8,3,0,0.867,0.133
8,4,0,0.999,0.001
9,1,0,0.0005,0.9995
9,2,0,0.44,0.56
9,3,0,0.981,0.019
9,4,0,0.999,0.001
10,1,0,0,1
10,2,0,0.001,0.999
10,3,0,0.511,0.489
10,4,0,0.929,0.071
