y,fzone,punt,kick,gofor
1,1,0.9525,0,0.0475
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.9015,0,0.0985
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.98,0,0.02
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.8575,0,0.1425
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.2935,0,0.7065
5,2,0.99,0,0.01
5,3,0.998,0,0.002
5,4,1,0,0
6,1,0.004,0.013,0.983
6,2,0.4565,0.0285,0.515
6,3,0.963,0.0335,0.0035
6,4,0.9645,0.0335,0.002
7,1,0,0.8335,0.1665
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.8525,0.1475
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9965,0.0035
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.73,0.27
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
