y,fzone,punt,kick,gofor
1,1,0.0495,0,0.9505
1,2,0.8295,0,0.1705
1,3,1,0,0
1,4,1,0,0
2,1,0.0295,0,0.9705
2,2,0.8215,0,0.1785
2,3,1,0,0
2,4,1,0,0
3,1,0.1175,0,0.8825
3,2,0.965,0,0.035
3,3,1,0,0
3,4,1,0,0
4,1,0.003,0,0.997
4,2,0.61,0,0.39
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.0035,0,0.9965
5,3,0.908,0,0.092
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.028,0.972
6,3,0.046,0.0915,0.8625
6,4,0.7955,0.143,0.0615
7,1,0,0.2915,0.7085
7,2,0,0.9825,0.0175
7,3,0,1,0
7,4,0,1,0
8,1,0,0.038,0.962
8,2,0,0.9225,0.0775
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5855,0.4145
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.004,0.996
10,2,0,0.684,0.316
10,3,0,0.994,0.006
10,4,0,1,0
