y,fzone,punt,kick,gofor
1,1,0.0425,0,0.9575
1,2,0.809,0,0.191
1,3,1,0,0
1,4,1,0,0
2,1,0.023,0,0.977
2,2,0.7955,0,0.2045
2,3,1,0,0
2,4,1,0,0
3,1,0.1015,0,0.8985
3,2,0.9545,0,0.0455
3,3,1,0,0
3,4,1,0,0
4,1,0.0025,0,0.9975
4,2,0.561,0,0.439
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.001,0,0.999
5,3,0.8745,0,0.1255
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.0295,0.0905,0.88
6,4,0.7675,0.152,0.0805
7,1,0,0.2595,0.7405
7,2,0,0.9805,0.0195
7,3,0,1,0
7,4,0,1,0
8,1,0,0.027,0.973
8,2,0,0.895,0.105
8,3,0,1,0
8,4,0,1,0
9,1,0,0.5155,0.4845
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.617,0.383
10,3,0,0.99,0.01
10,4,0,1,0
