y,fzone,punt,kick,gofor
1,1,0.391,0,0.609
1,2,0.993,0,0.007
1,3,1,0,0
1,4,1,0,0
2,1,0.277,0,0.723
2,2,0.9875,0,0.0125
2,3,1,0,0
2,4,1,0,0
3,1,0.5595,0,0.4405
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.1575,0,0.8425
4,2,0.983,0,0.017
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.411,0,0.589
5,3,0.999,0,0.001
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0,0.0315,0.9685
6,3,0.6405,0.079,0.2805
6,4,0.9145,0.084,0.0015
7,1,0,0.567,0.433
7,2,0,0.9975,0.0025
7,3,0,1,0
7,4,0,1,0
8,1,0,0.362,0.638
8,2,0,0.9975,0.0025
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9305,0.0695
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1325,0.8675
10,2,0,0.974,0.026
10,3,0,0.9995,0.0005
10,4,0,1,0
