y,fzone,punt,kick,gofor
1,1,0.0005,0,0.9995
1,2,0.249,0,0.751
1,3,0.994,0,0.006
1,4,1,0,0
2,1,0.0005,0,0.9995
2,2,0.2515,0,0.7485
2,3,0.996,0,0.004
2,4,1,0,0
3,1,0.0035,0,0.9965
3,2,0.5485,0,0.4515
3,3,0.999,0,0.001
3,4,1,0,0
4,1,0,0,1
4,2,0.1035,0,0.8965
4,3,0.9895,0,0.0105
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.4645,0,0.5355
5,4,0.9965,0,0.0035
6,1,0,0.008,0.992
6,2,0,0.0225,0.9775
6,3,0.002,0.0715,0.9265
6,4,0.5715,0.156,0.2725
7,1,0,0.052,0.948
7,2,0,0.8765,0.1235
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0015,0.9985
8,2,0,0.5845,0.4155
8,3,0,1,0
8,4,0,1,0
9,1,0,0.2835,0.7165
9,2,0,0.985,0.015
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.4275,0.5725
10,3,0,0.975,0.025
10,4,0,0.999,0.001
