y,fzone,punt,kick,gofor
1,1,0.979,0,0.021
1,2,0.9885,0,0.0115
1,3,0.9995,0,0.0005
1,4,1,0,0
2,1,0.9755,0,0.0245
2,2,0.988,0,0.012
2,3,0.997,0,0.003
2,4,1,0,0
3,1,0.987,0,0.013
3,2,0.993,0,0.007
3,3,1,0,0
3,4,1,0,0
4,1,0.9665,0,0.0335
4,2,0.99,0,0.01
4,3,0.997,0,0.003
4,4,0.998,0,0.002
5,1,0.747,0,0.253
5,2,0.9945,0,0.0055
5,3,0.995,0,0.005
5,4,0.9965,0,0.0035
6,1,0.0795,0.0155,0.905
6,2,0.9175,0.025,0.0575
6,3,0.97,0.025,0.005
6,4,0.9715,0.025,0.0035
7,1,0,0.951,0.049
7,2,0,0.996,0.004
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9655,0.0345
8,2,0,0.995,0.005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.982,0.018
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.966,0.034
10,2,0,0.9825,0.0175
10,3,0,0.996,0.004
10,4,0,0.999,0.001
