y,fzone,punt,kick,gofor
1,1,0.9565,0,0.0435
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.91,0,0.09
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9835,0,0.0165
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.8605,0,0.1395
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.294,0,0.706
5,2,0.9935,0,0.0065
5,3,1,0,0
5,4,1,0,0
6,1,0.0005,0.0135,0.986
6,2,0.4555,0.03,0.5145
6,3,0.964,0.0355,0.0005
6,4,0.9645,0.0355,0
7,1,0,0.88,0.12
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9175,0.0825
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9995,0.0005
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.8065,0.1935
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
