y,fzone,punt,kick,gofor
1,1,0.4715,0,0.5285
1,2,0.9955,0,0.0045
1,3,1,0,0
1,4,1,0,0
2,1,0.273,0,0.727
2,2,0.986,0,0.014
2,3,1,0,0
2,4,1,0,0
3,1,0.5325,0,0.4675
3,2,0.999,0,0.001
3,3,1,0,0
3,4,1,0,0
4,1,0.194,0,0.806
4,2,0.988,0,0.012
4,3,1,0,0
4,4,1,0,0
5,1,0.0055,0,0.9945
5,2,0.6135,0,0.3865
5,3,1,0,0
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0.004,0.0305,0.9655
6,3,0.845,0.0595,0.0955
6,4,0.94,0.06,0
7,1,0,0.7295,0.2705
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.7815,0.2185
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.7275,0.2725
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
