y,fzone,punt,kick,gofor
1,1,0.078,0,0.922
1,2,0.886,0,0.114
1,3,1,0,0
1,4,1,0,0
2,1,0.052,0,0.948
2,2,0.891,0,0.109
2,3,1,0,0
2,4,1,0,0
3,1,0.181,0,0.819
3,2,0.9835,0,0.0165
3,3,1,0,0
3,4,1,0,0
4,1,0.011,0,0.989
4,2,0.755,0,0.245
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.013,0,0.987
5,3,0.9575,0,0.0425
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.029,0.971
6,3,0.102,0.091,0.807
6,4,0.8445,0.1285,0.027
7,1,0,0.3335,0.6665
7,2,0,0.9875,0.0125
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0645,0.9355
8,2,0,0.9555,0.0445
8,3,0,1,0
8,4,0,1,0
9,1,0,0.6855,0.3145
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.009,0.991
10,2,0,0.7815,0.2185
10,3,0,0.9975,0.0025
10,4,0,1,0
