y,fzone,punt,kick,gofor
1,1,0.0335,0,0.9665
1,2,0.761,0,0.239
1,3,1,0,0
1,4,1,0,0
2,1,0.0175,0,0.9825
2,2,0.749,0,0.251
2,3,1,0,0
2,4,1,0,0
3,1,0.0655,0,0.9345
3,2,0.938,0,0.062
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.46,0,0.54
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.79,0,0.21
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.0265,0.9735
6,3,0.0125,0.0885,0.899
6,4,0.709,0.1595,0.1315
7,1,0,0.2075,0.7925
7,2,0,0.974,0.026
7,3,0,1,0
7,4,0,1,0
8,1,0,0.011,0.989
8,2,0,0.8215,0.1785
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4105,0.5895
9,2,0,0.998,0.002
9,3,0,1,0
9,4,0,1,0
10,1,0,0.001,0.999
10,2,0,0.495,0.505
10,3,0,0.985,0.015
10,4,0,0.9995,0.0005
