y,fzone,punt,kick,gofor
1,1,0.0015,0,0.9985
1,2,0.4705,0,0.5295
1,3,0.998,0,0.002
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.4315,0,0.5685
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.017,0,0.983
3,2,0.763,0,0.237
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.361,0,0.639
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0.0005,0,0.9995
5,3,0.838,0,0.162
5,4,0.9995,0,0.0005
6,1,0,0.0075,0.9925
6,2,0,0.0235,0.9765
6,3,0.0505,0.0755,0.874
6,4,0.808,0.126,0.066
7,1,0,0.1715,0.8285
7,2,0,0.978,0.022
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0485,0.9515
8,2,0,0.954,0.046
8,3,0,1,0
8,4,0,1,0
9,1,0,0.722,0.278
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.036,0.964
10,2,0,0.913,0.087
10,3,0,1,0
10,4,0,1,0
