y,fzone,punt,kick,gofor
1,1,0.0315,0,0.9685
1,2,0.7555,0,0.2445
1,3,1,0,0
1,4,1,0,0
2,1,0.018,0,0.982
2,2,0.7555,0,0.2445
2,3,1,0,0
2,4,1,0,0
3,1,0.069,0,0.931
3,2,0.944,0,0.056
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.4875,0,0.5125
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.8125,0,0.1875
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.0165,0.0905,0.893
6,4,0.7225,0.158,0.1195
7,1,0,0.2295,0.7705
7,2,0,0.978,0.022
7,3,0,1,0
7,4,0,1,0
8,1,0,0.017,0.983
8,2,0,0.8635,0.1365
8,3,0,1,0
8,4,0,1,0
9,1,0,0.4625,0.5375
9,2,0,0.999,0.001
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.5695,0.4305
10,3,0,0.9885,0.0115
10,4,0,0.9995,0.0005
