y,fzone,punt,kick,gofor
1,1,0.488,0,0.512
1,2,0.995,0,0.005
1,3,1,0,0
1,4,1,0,0
2,1,0.37,0,0.63
2,2,0.9925,0,0.0075
2,3,1,0,0
2,4,1,0,0
3,1,0.6615,0,0.3385
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.251,0,0.749
4,2,0.99,0,0.01
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.5375,0,0.4625
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.011,0.989
6,2,0.001,0.034,0.965
6,3,0.74,0.072,0.188
6,4,0.927,0.073,0
7,1,0,0.667,0.333
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.52,0.48
8,2,0,0.9995,0.0005
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9655,0.0345
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.246,0.754
10,2,0,0.9905,0.0095
10,3,0,1,0
10,4,0,1,0
