y,fzone,punt,kick,gofor
1,1,0.017,0,0.983
1,2,0.703,0,0.297
1,3,1,0,0
1,4,1,0,0
2,1,0.01,0,0.99
2,2,0.681,0,0.319
2,3,1,0,0
2,4,1,0,0
3,1,0.047,0,0.953
3,2,0.9105,0,0.0895
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.358,0,0.642
4,3,0.999,0,0.001
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.714,0,0.286
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.026,0.974
6,3,0.007,0.0875,0.9055
6,4,0.6605,0.1625,0.177
7,1,0,0.182,0.818
7,2,0,0.969,0.031
7,3,0,1,0
7,4,0,1,0
8,1,0,0.007,0.993
8,2,0,0.7835,0.2165
8,3,0,1,0
8,4,0,1,0
9,1,0,0.3765,0.6235
9,2,0,0.9965,0.0035
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0005,0.9995
10,2,0,0.4575,0.5425
10,3,0,0.9815,0.0185
10,4,0,0.9995,0.0005
