y,fzone,punt,kick,gofor
1,1,0.992,0,0.008
1,2,0.9995,0,0.0005
1,3,1,0,0
1,4,1,0,0
2,1,0.981,0,0.019
2,2,0.9995,0,0.0005
2,3,1,0,0
2,4,1,0,0
3,1,0.9955,0,0.0045
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.975,0,0.025
4,2,0.9985,0,0.0015
4,3,1,0,0
4,4,1,0,0
5,1,0.771,0,0.229
5,2,0.996,0,0.004
5,3,0.997,0,0.003
5,4,0.998,0,0.002
6,1,0.0695,0.014,0.9165
6,2,0.913,0.0235,0.0635
6,3,0.973,0.0235,0.0035
6,4,0.9735,0.0235,0.003
7,1,0,0.914,0.086
7,2,0,0.999,0.001
7,3,0,1,0
7,4,0,1,0
8,1,0,0.95,0.05
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.915,0.085
10,2,0,0.999,0.001
10,3,0,1,0
10,4,0,1,0
