y,fzone,punt,kick,gofor
1,1,0.228,0,0.772
1,2,0.9705,0,0.0295
1,3,1,0,0
1,4,1,0,0
2,1,0.165,0,0.835
2,2,0.968,0,0.032
2,3,1,0,0
2,4,1,0,0
3,1,0.397,0,0.603
3,2,0.9955,0,0.0045
3,3,1,0,0
3,4,1,0,0
4,1,0.0655,0,0.9345
4,2,0.941,0,0.059
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.179,0,0.821
5,3,0.9965,0,0.0035
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0305,0.9695
6,3,0.4185,0.083,0.4985
6,4,0.8995,0.0975,0.003
7,1,0,0.4805,0.5195
7,2,0,0.9955,0.0045
7,3,0,1,0
7,4,0,1,0
8,1,0,0.2355,0.7645
8,2,0,0.991,0.009
8,3,0,1,0
8,4,0,1,0
9,1,0,0.881,0.119
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0665,0.9335
10,2,0,0.9375,0.0625
10,3,0,0.9995,0.0005
10,4,0,1,0
