y,fzone,punt,kick,gofor
1,1,0.005,0,0.995
1,2,0.208,0,0.792
1,3,0.972,0,0.028
1,4,0.996,0,0.004
2,1,0.002,0,0.998
2,2,0.182,0,0.818
2,3,0.9905,0,0.0095
2,4,0.9995,0,0.0005
3,1,0.002,0,0.998
3,2,0.385,0,0.615
3,3,0.997,0,0.003
3,4,1,0,0
4,1,0,0,1
4,2,0.005,0,0.995
4,3,0.8745,0,0.1255
4,4,0.9995,0,0.0005
5,1,0,0,1
5,2,0.001,0,0.999
5,3,0.0335,0,0.9665
5,4,0.8945,0,0.1055
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0.001,0.083,0.916
6,4,0.104,0.2125,0.6835
7,1,0,0.023,0.977
7,2,0,0.7705,0.2295
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.037,0.963
8,3,0,0.9775,0.0225
8,4,0,1,0
9,1,0,0.0065,0.9935
9,2,0,0.772,0.228
9,3,0,0.995,0.005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.016,0.984
10,3,0,0.7385,0.2615
10,4,0,0.9695,0.0305
