y,fzone,punt,kick,gofor
1,1,0.9975,0,0.0025
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.995,0,0.005
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9995,0,0.0005
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9905,0,0.0095
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.8095,0,0.1905
5,2,1,0,0
5,3,1,0,0
5,4,1,0,0
6,1,0.0825,0.0145,0.903
6,2,0.9365,0.023,0.0405
6,3,0.977,0.023,0
6,4,0.977,0.023,0
7,1,0,0.939,0.061
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.9775,0.0225
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,1,0
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.956,0.044
10,2,0,1,0
10,3,0,1,0
10,4,0,1,0
