y,fzone,punt,kick,gofor
1,1,0.483,0,0.517
1,2,0.995,0,0.005
1,3,1,0,0
1,4,1,0,0
2,1,0.357,0,0.643
2,2,0.9935,0,0.0065
2,3,1,0,0
2,4,1,0,0
3,1,0.656,0,0.344
3,2,0.9995,0,0.0005
3,3,1,0,0
3,4,1,0,0
4,1,0.2435,0,0.7565
4,2,0.9915,0,0.0085
4,3,1,0,0
4,4,1,0,0
5,1,0.001,0,0.999
5,2,0.5495,0,0.4505
5,3,0.9995,0,0.0005
5,4,1,0,0
6,1,0,0.01,0.99
6,2,0.001,0.032,0.967
6,3,0.7575,0.0695,0.173
6,4,0.9295,0.0705,0
7,1,0,0.627,0.373
7,2,0,0.9985,0.0015
7,3,0,1,0
7,4,0,1,0
8,1,0,0.4495,0.5505
8,2,0,0.999,0.001
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9565,0.0435
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.198,0.802
10,2,0,0.9835,0.0165
10,3,0,1,0
10,4,0,1,0
