y,fzone,punt,kick,gofor
1,1,1,0,0
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,1,0,0
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,1,0,0
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.9945,0,0.0055
4,2,1,0,0
4,3,1,0,0
4,4,1,0,0
5,1,0.8985,0,0.1015
5,2,0.9985,0,0.0015
5,3,1,0,0
5,4,1,0,0
6,1,0.8435,0.0045,0.152
6,2,0.9935,0.0045,0.002
6,3,0.9955,0.0045,0
6,4,0.9955,0.0045,0
7,1,0.0105,0.4225,0.567
7,2,0.032,0.952,0.016
7,3,0.0335,0.9665,0
7,4,0.0335,0.9665,0
8,1,0,0.3065,0.6935
8,2,0,0.9435,0.0565
8,3,0,0.999,0.001
8,4,0,1,0
9,1,0,0.7375,0.2625
9,2,0,0.991,0.009
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0.4985,0.5015
10,2,0,0.8555,0.1445
10,3,0,0.972,0.028
10,4,0,0.9925,0.0075
