y,fzone,punt,kick,gofor
1,1,0.001,0,0.999
1,2,0.436,0,0.564
1,3,0.9975,0,0.0025
1,4,1,0,0
2,1,0.001,0,0.999
2,2,0.3935,0,0.6065
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.006,0,0.994
3,2,0.6755,0,0.3245
3,3,0.9995,0,0.0005
3,4,1,0,0
4,1,0,0,1
4,2,0.0395,0,0.9605
4,3,0.9855,0,0.0145
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.211,0,0.789
5,4,0.9875,0,0.0125
6,1,0,0.008,0.992
6,2,0,0.025,0.975
6,3,0,0.0845,0.9155
6,4,0.2825,0.202,0.5155
7,1,0,0.058,0.942
7,2,0,0.885,0.115
7,3,0,1,0
7,4,0,1,0
8,1,0,0,1
8,2,0,0.262,0.738
8,3,0,0.998,0.002
8,4,0,1,0
9,1,0,0.0625,0.9375
9,2,0,0.941,0.059
9,3,0,0.9995,0.0005
9,4,0,1,0
10,1,0,0,1
10,2,0,0.1025,0.8975
10,3,0,0.902,0.098
10,4,0,0.9885,0.0115
