y,fzone,punt,kick,gofor
1,1,0.0085,0,0.9915
1,2,0.628,0,0.372
1,3,1,0,0
1,4,1,0,0
2,1,0.006,0,0.994
2,2,0.6045,0,0.3955
2,3,0.9995,0,0.0005
2,4,1,0,0
3,1,0.025,0,0.975
3,2,0.862,0,0.138
3,3,1,0,0
3,4,1,0,0
4,1,0,0,1
4,2,0.2375,0,0.7625
4,3,0.9985,0,0.0015
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.5855,0,0.4145
5,4,0.997,0,0.003
6,1,0,0.0095,0.9905
6,2,0,0.025,0.975
6,3,0.002,0.0855,0.9125
6,4,0.5685,0.175,0.2565
7,1,0,0.1395,0.8605
7,2,0,0.9535,0.0465
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0035,0.9965
8,2,0,0.6665,0.3335
8,3,0,1,0
8,4,0,1,0
9,1,0,0.269,0.731
9,2,0,0.992,0.008
9,3,0,1,0
9,4,0,1,0
10,1,0,0,1
10,2,0,0.3405,0.6595
10,3,0,0.9725,0.0275
10,4,0,0.9985,0.0015
