y,fzone,punt,kick,gofor
1,1,0.1175,0,0.8825
1,2,0.924,0,0.076
1,3,1,0,0
1,4,1,0,0
2,1,0.0755,0,0.9245
2,2,0.929,0,0.071
2,3,1,0,0
2,4,1,0,0
3,1,0.24,0,0.76
3,2,0.991,0,0.009
3,3,1,0,0
3,4,1,0,0
4,1,0.0175,0,0.9825
4,2,0.829,0,0.171
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.04,0,0.96
5,3,0.9795,0,0.0205
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.164,0.0885,0.7475
6,4,0.868,0.119,0.013
7,1,0,0.3685,0.6315
7,2,0,0.9915,0.0085
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0895,0.9105
8,2,0,0.9745,0.0255
8,3,0,1,0
8,4,0,1,0
9,1,0,0.7395,0.2605
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.016,0.984
10,2,0,0.8245,0.1755
10,3,0,0.999,0.001
10,4,0,1,0
