y,fzone,punt,kick,gofor
1,1,0.0645,0,0.9355
1,2,0.8755,0,0.1245
1,3,1,0,0
1,4,1,0,0
2,1,0.033,0,0.967
2,2,0.8165,0,0.1835
2,3,1,0,0
2,4,1,0,0
3,1,0.1225,0,0.8775
3,2,0.9575,0,0.0425
3,3,1,0,0
3,4,1,0,0
4,1,0.015,0,0.985
4,2,0.758,0,0.242
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0.064,0,0.936
5,3,0.986,0,0.014
5,4,1,0,0
6,1,0,0.0085,0.9915
6,2,0,0.0245,0.9755
6,3,0.3115,0.075,0.6135
6,4,0.902,0.093,0.005
7,1,0,0.328,0.672
7,2,0,0.988,0.012
7,3,0,1,0
7,4,0,1,0
8,1,0,0.177,0.823
8,2,0,0.9885,0.0115
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8605,0.1395
9,2,0,0.9995,0.0005
9,3,0,1,0
9,4,0,1,0
10,1,0,0.1055,0.8945
10,2,0,0.956,0.044
10,3,0,0.9995,0.0005
10,4,0,1,0
