y,fzone,punt,kick,gofor
1,1,0.907,0,0.093
1,2,1,0,0
1,3,1,0,0
1,4,1,0,0
2,1,0.8485,0,0.1515
2,2,1,0,0
2,3,1,0,0
2,4,1,0,0
3,1,0.9625,0,0.0375
3,2,1,0,0
3,3,1,0,0
3,4,1,0,0
4,1,0.772,0,0.228
4,2,0.9995,0,0.0005
4,3,1,0,0
4,4,1,0,0
5,1,0.1605,0,0.8395
5,2,0.9795,0,0.0205
5,3,1,0,0
5,4,1,0,0
6,1,0.0005,0.0135,0.986
6,2,0.253,0.0335,0.7135
6,3,0.9525,0.0455,0.002
6,4,0.9545,0.0455,0
7,1,0,0.847,0.153
7,2,0,1,0
7,3,0,1,0
7,4,0,1,0
8,1,0,0.859,0.141
8,2,0,1,0
8,3,0,1,0
8,4,0,1,0
9,1,0,0.9975,0.0025
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.701,0.299
10,2,0,0.9995,0.0005
10,3,0,1,0
10,4,0,1,0
