y,fzone,punt,kick,gofor
1,1,0.0335,0,0.9665
1,2,0.763,0,0.237
1,3,1,0,0
1,4,1,0,0
2,1,0.0185,0,0.9815
2,2,0.755,0,0.245
2,3,1,0,0
2,4,1,0,0
3,1,0.0725,0,0.9275
3,2,0.941,0,0.059
3,3,1,0,0
3,4,1,0,0
4,1,0.0005,0,0.9995
4,2,0.488,0,0.512
4,3,0.9995,0,0.0005
4,4,1,0,0
5,1,0,0,1
5,2,0,0,1
5,3,0.8195,0,0.1805
5,4,0.9995,0,0.0005
6,1,0,0.0095,0.9905
6,2,0,0.027,0.973
6,3,0.018,0.09,0.892
6,4,0.7305,0.157,0.1125
7,1,0,0.238,0.762
7,2,0,0.977,0.023
7,3,0,1,0
7,4,0,1,0
8,1,0,0.0215,0.9785
8,2,0,0.8665,0.1335
8,3,0,1,0
8,4,0,1,0
9,1,0,0.468,0.532
9,2,0,0.9985,0.0015
9,3,0,1,0
9,4,0,1,0
10,1,0,0.0015,0.9985
10,2,0,0.57,0.43
10,3,0,0.9885,0.0115
10,4,0,0.9995,0.0005
