y,fzone,punt,kick,gofor
1,1,0.1975,0,0.8025
1,2,0.9635,0,0.0365
1,3,1,0,0
1,4,1,0,0
2,1,0.1375,0,0.8625
2,2,0.964,0,0.036
2,3,1,0,0
2,4,1,0,0
3,1,0.3655,0,0.6345
3,2,0.995,0,0.005
3,3,1,0,0
3,4,1,0,0
4,1,0.054,0,0.946
4,2,0.9325,0,0.0675
4,3,1,0,0
4,4,1,0,0
5,1,0,0,1
5,2,0.1485,0,0.8515
5,3,0.9955,0,0.0045
5,4,1,0,0
6,1,0,0.0095,0.9905
6,2,0,0.0295,0.9705
6,3,0.3705,0.084,0.5455
6,4,0.8965,0.1005,0.003
7,1,0,0.465,0.535
7,2,0,0.995,0.005
7,3,0,1,0
7,4,0,1,0
8,1,0,0.217,0.783
8,2,0,0.9905,0.0095
8,3,0,1,0
8,4,0,1,0
9,1,0,0.8705,0.1295
9,2,0,1,0
9,3,0,1,0
9,4,0,1,0
10,1,0,0.057,0.943
10,2,0,0.933,0.067
10,3,0,0.9995,0.0005
10,4,0,1,0
